time;V(1);V(7)
0.000022676;0.175636581;0.000000000
0.000045351;0.175636581;0.000000000
0.000068027;0.175636581;0.000000000
0.000090703;0.175636581;0.000000000
0.000113379;0.175636581;0.000000000
0.000136054;0.175636581;0.000000000
0.000158730;0.175636581;0.000000000
0.000181406;0.175636581;0.000000000
0.000204082;0.175636581;0.000000000
0.000226757;0.175636581;0.000000000
0.000249433;0.175636581;0.000000000
0.000272109;0.175636581;0.000000000
0.000294785;0.175636581;0.000000000
0.000317460;0.175636581;0.000000000
0.000340136;0.175636581;0.000000000
0.000362812;0.175636581;0.000000000
0.000385488;0.175636581;0.000000000
0.000408163;0.175636581;0.000000000
0.000430839;0.175636581;0.000000000
0.000453515;0.175636581;0.000000000
0.000476190;0.175636581;0.000000000
0.000498866;0.175636581;0.000000000
0.000521542;0.175636581;0.000000000
0.000544218;0.175636581;0.000000000
0.000566893;0.175636581;0.000000000
0.000589569;0.175636581;0.000000000
0.000612245;0.175636581;0.000000000
0.000634921;0.175636581;0.000000000
0.000657596;0.175636581;0.000000000
0.000680272;0.175636581;0.000000000
0.000702948;0.175636581;0.000000000
0.000725624;0.175636581;0.000000000
0.000748299;0.175636581;0.000000000
0.000770975;0.175636581;0.000000000
0.000793651;0.175636581;0.000000000
0.000816327;0.175636581;0.000000000
0.000839002;0.175636581;0.000000000
0.000861678;0.175636581;0.000000000
0.000884354;0.175636581;0.000000000
0.000907029;0.175636581;0.000000000
0.000929705;0.175636581;0.000000000
0.000952381;0.175636581;0.000000000
0.000975057;0.175636581;0.000000000
0.000997732;0.175636581;0.000000000
0.001020408;0.175636581;0.000000000
0.001043084;0.175636581;0.000000000
0.001065760;0.175636581;0.000000000
0.001088435;0.175636581;0.000000000
0.001111111;0.175636581;0.000000000
0.001133787;0.175636581;0.000000000
0.001156463;0.175636581;0.000000000
0.001179138;0.175636581;0.000000000
0.001201814;0.175636581;0.000000000
0.001224490;0.175636581;0.000000000
0.001247166;0.175636581;0.000000000
0.001269841;0.175636581;0.000000000
0.001292517;0.175636581;0.000000000
0.001315193;0.175636581;0.000000000
0.001337868;0.175636581;0.000000000
0.001360544;0.175636581;0.000000000
0.001383220;0.175636581;0.000000000
0.001405896;0.175636581;0.000000000
0.001428571;0.175636581;0.000000000
0.001451247;0.175636581;0.000000000
0.001473923;0.175636581;0.000000000
0.001496599;0.175636581;0.000000000
0.001519274;0.175636581;0.000000000
0.001541950;0.175636581;0.000000000
0.001564626;0.175636581;0.000000000
0.001587302;0.175636581;0.000000000
0.001609977;0.175636581;0.000000000
0.001632653;0.175636581;0.000000000
0.001655329;0.175636581;0.000000000
0.001678005;0.175636581;0.000000000
0.001700680;0.175636581;0.000000000
0.001723356;0.175636581;0.000000000
0.001746032;0.175636581;0.000000000
0.001768707;0.175636581;0.000000000
0.001791383;0.175636581;0.000000000
0.001814059;0.175636581;0.000000000
0.001836735;0.175636581;0.000000000
0.001859410;0.175636581;0.000000000
0.001882086;0.175636581;0.000000000
0.001904762;0.175636581;0.000000000
0.001927438;0.175636581;0.000000000
0.001950113;0.175636581;0.000000000
0.001972789;0.175636581;0.000000000
0.001995465;0.175636581;0.000000000
0.002018141;0.175636581;0.000000000
0.002040816;0.175636581;0.000000000
0.002063492;0.175636581;0.000000000
0.002086168;0.175636581;0.000000000
0.002108844;0.175636581;0.000000000
0.002131519;0.175636581;0.000000000
0.002154195;0.175636581;0.000000000
0.002176871;0.175636581;0.000000000
0.002199546;0.175636581;0.000000000
0.002222222;0.175636581;0.000000000
0.002244898;0.175636581;0.000000000
0.002267574;0.175636581;0.000000000
0.002290249;0.175636581;0.000000000
0.002312925;0.175636581;0.000000000
0.002335601;0.175636581;0.000000000
0.002358277;0.175636581;0.000000000
0.002380952;0.175636581;0.000000000
0.002403628;0.175636581;0.000000000
0.002426304;0.175636581;0.000000000
0.002448980;0.175636581;0.000000000
0.002471655;0.175636581;0.000000000
0.002494331;0.175636581;0.000000000
0.002517007;0.175636581;0.000000000
0.002539683;0.175636581;0.000000000
0.002562358;0.175636581;0.000000000
0.002585034;0.175636581;0.000000000
0.002607710;0.175636581;0.000000000
0.002630385;0.175636581;0.000000000
0.002653061;0.175636581;0.000000000
0.002675737;0.175636581;0.000000000
0.002698413;0.175636581;0.000000000
0.002721088;0.175636581;0.000000000
0.002743764;0.175636581;0.000000000
0.002766440;0.175636581;0.000000000
0.002789116;0.175636581;0.000000000
0.002811791;0.175636581;0.000000000
0.002834467;0.175636581;0.000000000
0.002857143;0.175636581;0.000000000
0.002879819;0.175636581;0.000000000
0.002902494;0.175636581;0.000000000
0.002925170;0.175636581;0.000000000
0.002947846;0.175636581;0.000000000
0.002970522;0.175636581;0.000000000
0.002993197;0.175636581;0.000000000
0.003015873;0.175636581;0.000000000
0.003038549;0.175636581;0.000000000
0.003061224;0.175636581;0.000000000
0.003083900;0.175636581;0.000000000
0.003106576;0.175636581;0.000000000
0.003129252;0.175636581;0.000000000
0.003151927;0.175636581;0.000000000
0.003174603;0.175636581;0.000000000
0.003197279;0.175636581;0.000000000
0.003219955;0.175636581;0.000000000
0.003242630;0.175636581;0.000000000
0.003265306;0.175636581;0.000000000
0.003287982;0.175636581;0.000000000
0.003310658;0.175636581;0.000000000
0.003333333;0.175636581;0.000000000
0.003356009;0.175636581;0.000000000
0.003378685;0.175636581;0.000000000
0.003401361;0.175636581;0.000000000
0.003424036;0.175636581;0.000000000
0.003446712;0.175636581;0.000000000
0.003469388;0.175636581;0.000000000
0.003492063;0.175636581;0.000000000
0.003514739;0.175636581;0.000000000
0.003537415;0.175636581;0.000000000
0.003560091;0.175636581;0.000000000
0.003582766;0.175636581;0.000000000
0.003605442;0.175636581;0.000000000
0.003628118;0.175636581;0.000000000
0.003650794;0.175636581;0.000000000
0.003673469;0.175636581;0.000000000
0.003696145;0.175636581;0.000000000
0.003718821;0.175636581;0.000000000
0.003741497;0.175636581;0.000000000
0.003764172;0.175636581;0.000000000
0.003786848;0.175636581;0.000000000
0.003809524;0.175636581;0.000000000
0.003832200;0.175636581;0.000000000
0.003854875;0.175636581;0.000000000
0.003877551;0.175636581;0.000000000
0.003900227;0.175636581;0.000000000
0.003922902;0.175636581;0.000000000
0.003945578;0.175636581;0.000000000
0.003968254;0.175636581;0.000000000
0.003990930;0.175636581;0.000000000
0.004013605;0.175636581;0.000000000
0.004036281;0.175636581;0.000000000
0.004058957;0.175636581;0.000000000
0.004081633;0.175636581;0.000000000
0.004104308;0.175636581;0.000000000
0.004126984;0.175636581;0.000000000
0.004149660;0.175636581;0.000000000
0.004172336;0.175636581;0.000000000
0.004195011;0.175636581;0.000000000
0.004217687;0.175636581;0.000000000
0.004240363;0.175636581;0.000000000
0.004263039;0.175636581;0.000000000
0.004285714;0.175636581;0.000000000
0.004308390;0.175636581;0.000000000
